CONCLIENTE,dataNascimentoCliente,sexoCliente,CONINSCRICAO,CONPRODUTO,periodicidadeCobranca,parcelamento,CONITEMCONTRATADO,codigoSistemaItemContratado,dataInicioVigenciaCobertura,prazoContribuicao,prazoCobertura,prazoDecrescimoItemContratado,prazoCertoRendaItemContratado,prazoMinimoGarantidoRendaItemContratado,indiceReajusteItemContratado,valorCapitalSeguradoItemContratadoInicial,CONITEMCONTRATADOBENEFICIARIO,percentualParticipacaoBeneficio,CONBENEFICIARIO,dataNascimentoBeneficiario,sexoBeneficiario
7588950,1998-08-10,F,16293833,1073,MENSAL,1,95816202,204373,2022-02-06,9999,9999,,,,IPCA,595437.07,1921005.0,33.0,3632476.0,1968-02-27,FEMININO
7588950,1998-08-10,F,16293833,1073,MENSAL,1,95816202,204373,2022-02-06,9999,9999,,,,IPCA,595437.07,1922024.0,33.0,3632475.0,1961-07-06,MASCULINO
1731617,1961-07-06,M,16290833,1073,ANUAL,1,95816203,204373,2022-02-06,9999,9999,,,,IPCA,608455.87,1920570.0,34.0,3632323.0,1968-02-27,NÃO INFORMADO
1731617,1961-07-06,M,16290833,1073,ANUAL,1,95816203,204373,2022-02-06,9999,9999,,,,IPCA,608455.87,1920672.0,33.0,3632325.0,1998-08-10,MASCULINO
1731617,1961-07-06,M,16290833,1073,ANUAL,1,95816203,204373,2022-02-06,9999,9999,,,,IPCA,608455.87,1920876.0,33.0,3632324.0,2001-06-02,MASCULINO
560822,1976-09-09,M,16293819,1075,MENSAL,1,95816204,204375,2022-01-31,9999,9999,20.0,,,IPCA,550000.0,1925200.0,50.0,3260686.0,2013-05-27,MASCULINO
560822,1976-09-09,M,16293819,1075,MENSAL,1,95816204,204375,2022-01-31,9999,9999,20.0,,,IPCA,550000.0,1925353.0,50.0,3741121.0,2022-04-04,MASCULINO
7590579,1980-02-11,M,16294765,1072,MENSAL,1,95826847,204377,2022-01-06,10,10,,,,IPCA,2000000.0,1215590.0,100.0,3643194.0,2022-01-01,
7590926,1992-03-21,F,16294857,1075,MENSAL,1,95826853,204375,2022-02-12,9999,9999,30.0,,,IPCA,400000.0,1405880.0,100.0,3632642.0,2013-10-27,MASCULINO
2633745,1950-09-19,M,16296405,592,MENSAL,1,95826879,202882,2022-01-06,9,9,,,,INPC,537180.41,1545384.0,100.0,3632861.0,1901-01-01,NÃO INFORMADO
5966757,1979-09-21,M,16294855,1072,MENSAL,1,95826934,204377,2022-02-06,20,20,,,,IPCA,500000.0,1768991.0,50.0,3171381.0,2018-05-25,MASCULINO
5966757,1979-09-21,M,16294855,1072,MENSAL,1,95826934,204377,2022-02-06,20,20,,,,IPCA,500000.0,1769092.0,50.0,3171380.0,2016-04-18,MASCULINO
7590595,1994-11-22,M,16294810,1072,MENSAL,1,95826936,204377,2022-01-06,30,30,,,,IPCA,500000.0,1794120.0,40.0,3632621.0,1959-12-16,FEMININO
7590595,1994-11-22,M,16294810,1072,MENSAL,1,95826936,204377,2022-01-06,30,30,,,,IPCA,500000.0,1794324.0,20.0,3632623.0,1997-10-22,MASCULINO
